Corrected.Collector.Collection.Number,Collector.Collection.Number,Collector,Collection.Number,Occupancy.Adults,Occupancy.Seedling,Observation,Phenotypic.group,Cuatrecasas.Taxa,Pineda.Group,Species.Taxa.Assignment.For.Occupancy.Analysis,Comment.Species.Taxa.Assignment.For.Occupancy.Analysis,Longitude,Latitude,Altitude,Length.Lamina.1,Length.Lamina.2,Length.Lamina.3,Width.Lamina.1,Width.Lamina.2,Width.Lamina.3,Length.Synflorescence.Axis.1,Length.Synflorescence.Axis.2,Length.Synflorescence.Axis.3,Perimeter.Synflorescence.Axis.1,Perimeter.Synflorescence.Axis.2,Perimeter.Synflorescence.Axis.3,Number.Pairs.Sterile.Leaves.Per.Synflorescence.1,Number.Pairs.Sterile.Leaves.Per.Synflorescence.2,Number.Pairs.Sterile.Leaves.Per.Synflorescence.3,Number.Capitula.Per.Synflorescence.1,Number.Capitula.Per.Synflorescence.2,Number.Capitula.Per.Synflorescence.3,Length.Cyme.Peduncle.Center.1,Length.Cyme.Peduncle.Center.2,Length.Cyme.Peduncle.Axial.1,Length.Cyme.Peduncle.Axial.2,Length.Cyme.Peduncle.Axial.3,Length.Cyme.Peduncle.Axial.4,Infructescence.Diameter.Capitulum.1,Infructescence.Diameter.Capitulum.2,Infructescence.Diameter.Capitulum.3,Infructescence.Diameter.Capitulum.4,Inflorescence.Diameter.Capitulum.1,Inflorescence.Diameter.Capitulum.2,Inflorescence.Diameter.Capitulum.3,Inflorescence.Diameter.Capitulum.4,Length.Sterile.Phyllary.1,Length.Sterile.Phyllary.2,Length.Sterile.Phyllary.3,Width.Sterile.Phyllary.1,Width.Sterile.Phyllary.2,Width.Sterile.Phyllary.3,Length.Ray.Flower.Corolla.1,Length.Ray.Flower.Corolla.2,Length.Ray.Flower.Corolla.3,Length.Disc.Flower.Corolla.1,Length.Disc.Flower.Corolla.2,Length.Disc.Flower.Corolla.3,Length.Disc.Flower.Tube.1,Length.Disc.Flower.Tube.2,Length.Disc.Flower.Tube.3,Is.Seedling,DNA.Sample,Type.Taxa,Cited.Cuatrecasas.Monograph.Taxa
YAM_205,Y_205,Pineda Yam,205,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.2527,4.2078,3829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_206,Y_206,Pineda Yam,206,No,No,,Not present,NotFound,Hy_E.summapacisxE.killipii,Hy_E.summapacisxE.killipii,,-74.25844,4.20205,3864,36.183,44.645,38.951,6.958,5.173,6.736,70,68,67,3,2.6,3.3,0,0,NA,4,3,3,24.5,18.8,17,18,12.3,13.5,4.91,3.76,3.99,3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,YES,NA,NA
YAM_207,Y_207,Pineda Yam,207,No,No,,4,NotFound,Hy_E. grandiflora x E. killipii,Hy_E. grandiflora x E. killipii,,-74.25862,4.20215,3865,30.661,34.905,33.259,5.31,5.401,5.655,58,48,60,2,2.3,1.8,1,1,NA,5,5,6,6.62,10.4,5.73,2.46,11,9.8,NA,NA,NA,NA,2.78,2.65,3.44,1.97,17.6,17.78,17.76,18.28,9.82,18.68,12.04,9.1,9.13,6.54,6.54,7.25,4.29,4.66,4.66,NO,YES,NA,NA
YAM_208,Y_208,Pineda Yam,208,Yes,No,,Not present,E. grandiflora,g. hoja.peque,E. grandiflora,ver especimen si disponible,-74.26478,4.20052,3878,18.552,17.137,18.771,2.231,2.741,2.554,52,49,54,1.4,1.5,1.6,1,1,NA,5,5,6,4.51,5.12,3.33,3.31,4.6,4.44,2.2,2.23,2.26,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,YES,NA,NA
YAM_209,Y_209,Pineda Yam,209,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.26478,4.20052,3878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_210,Y_210,Pineda Yam,210,Yes,No,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.26591,4.20774,3778,30.544,29.96,29.864,4.431,4.344,4.531,55,63,64,3.5,3.7,3.4,0,0,NA,7,7,7,3.81,2.94,3.13,2.32,3,2.24,2.89,2.4,2.48,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_211,Y_211,Pineda Yam,211,No,Yes,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.26591,4.20774,3778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_212,Y_212,Pineda Yam,212,Yes,No,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.26381,4.20545,3838,41.508,39.906,39.61,5.157,5.061,5.068,76,77,75,3.1,3.1,3,0,0,NA,5,5,5,8,11.74,7.5,8.5,8.93,7.6,3.98,3.79,3.87,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_213,Y_213,Pineda Yam,213,No,Yes,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.26381,4.20545,3838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_214,Y_214,Pineda Yam,214,Yes,No,,Not present,NotFound,H.peque.SB,complejo_sin_bracteas,ver especimen si disponible,-74.26802,4.2108,3769,17.967,15.947,17.184,2.774,2.698,3.36,55,64,64,1.7,1.6,1.5,0,0,NA,6,9,11,3.35,3.57,2.48,2.25,2.85,3.13,2.05,1.83,1.59,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
