Corrected.Collector.Collection.Number,Collector.Collection.Number,Collector,Collection.Number,Occupancy.Adults,Occupancy.Seedling,Observation,Phenotypic.group,Cuatrecasas.Taxa,Pineda.Group,Species.Taxa.Assignment.For.Occupancy.Analysis,Comment.Species.Taxa.Assignment.For.Occupancy.Analysis,Longitude,Latitude,Altitude,Length.Lamina.1,Length.Lamina.2,Length.Lamina.3,Width.Lamina.1,Width.Lamina.2,Width.Lamina.3,Length.Synflorescence.Axis.1,Length.Synflorescence.Axis.2,Length.Synflorescence.Axis.3,Perimeter.Synflorescence.Axis.1,Perimeter.Synflorescence.Axis.2,Perimeter.Synflorescence.Axis.3,Number.Pairs.Sterile.Leaves.Per.Synflorescence.1,Number.Pairs.Sterile.Leaves.Per.Synflorescence.2,Number.Pairs.Sterile.Leaves.Per.Synflorescence.3,Number.Capitula.Per.Synflorescence.1,Number.Capitula.Per.Synflorescence.2,Number.Capitula.Per.Synflorescence.3,Length.Cyme.Peduncle.Center.1,Length.Cyme.Peduncle.Center.2,Length.Cyme.Peduncle.Axial.1,Length.Cyme.Peduncle.Axial.2,Length.Cyme.Peduncle.Axial.3,Length.Cyme.Peduncle.Axial.4,Infructescence.Diameter.Capitulum.1,Infructescence.Diameter.Capitulum.2,Infructescence.Diameter.Capitulum.3,Infructescence.Diameter.Capitulum.4,Inflorescence.Diameter.Capitulum.1,Inflorescence.Diameter.Capitulum.2,Inflorescence.Diameter.Capitulum.3,Inflorescence.Diameter.Capitulum.4,Length.Sterile.Phyllary.1,Length.Sterile.Phyllary.2,Length.Sterile.Phyllary.3,Width.Sterile.Phyllary.1,Width.Sterile.Phyllary.2,Width.Sterile.Phyllary.3,Length.Ray.Flower.Corolla.1,Length.Ray.Flower.Corolla.2,Length.Ray.Flower.Corolla.3,Length.Disc.Flower.Corolla.1,Length.Disc.Flower.Corolla.2,Length.Disc.Flower.Corolla.3,Length.Disc.Flower.Tube.1,Length.Disc.Flower.Tube.2,Length.Disc.Flower.Tube.3,Is.Seedling,DNA.Sample,Type.Taxa,Cited.Cuatrecasas.Monograph.Taxa
YAM_216,Y_216,Pineda Yam,216,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.27052,4.21423,3647,29.465,29.761,28.434,3.728,3.451,4.483,110,118,100,2.5,2,NA,1,1,NA,16,9,14,3.17,3.08,2.98,2.93,3.12,3.02,1.66,1.73,2.08,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_217,Y_217,Pineda Yam,217,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.27052,4.21423,3647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_218,Y_218,Pineda Yam,218,Yes,No,,4,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.28663,4.2177,3568,34.618,34.566,36.051,3.523,3.429,4.384,47,40,72,2,1.9,2,1,1,NA,19,17,17,2.13,2.81,1.96,1.58,2.51,2.87,NA,NA,NA,NA,1.35,1.23,1.1,1.01,7.02,6.67,7.56,3.53,3.34,3.64,8.1,8.23,6,6.12,5.78,6.14,1.83,2.87,2.14,NO,NA,NA,NA
YAM_219,Y_219,Pineda Yam,219,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.28664,4.2177,3568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_220,Y_220,Pineda Yam,220,Yes,No,,10,E. killipii,E. killipii,E. killipii,NA,-74.28622,4.21838,3579,46.058,44.893,46.976,2.796,2.821,2.982,83,82,72,2.6,2.7,3,0,0,NA,5,7,7,12.5,3.24,8.5,11,1.81,1.76,NA,NA,NA,NA,2.63,2.45,2.8,2.82,17.5,30.7,20.11,14.7,21.3,8.9,13.7,11.8,13.85,8.35,8.74,8.7,5.46,5.42,5.36,NO,NA,NA,NA
YAM_221,Y_221,Pineda Yam,221,Yes,No,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.28622,4.21838,3579,51.217,50.477,49.485,4.012,3.6,5.225,92,98,94,4.3,4.7,4.3,0,0,NA,7,11,11,5,6.79,4.5,4.2,5.6,4.22,4.34,3.78,4.32,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_222,Y_222,Pineda Yam,222,Yes,No,,4,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.28622,4.21838,3579,25.548,24.03,22.62,2.9,3.311,3.62,66,59,62,1.5,1.7,1.8,1,1,NA,7,7,8,1.34,1.55,0.7,1.11,1.41,0.98,NA,NA,NA,NA,0.8,0.99,1.44,1.4,13.96,15.23,10.08,5.72,6.06,NA,9.34,9.63,11.57,5.64,5.4,6.49,1.54,1.85,2.18,NO,NA,NA,NA
YAM_223,Y_223,Pineda Yam,223,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.28622,4.21838,3579,24.949,25.202,25.043,3.324,3.263,3.143,63,71,65,2.8,2.1,2.6,1,1,NA,23,11,13,1.1,2.62,1.9,1.03,1.29,1.53,1.58,1.44,1.26,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_224,Y_224,Pineda Yam,224,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.28622,4.21838,3579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_225,Y_225,Pineda Yam,225,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.28622,4.21838,3579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_226,Y_226,Pineda Yam,226,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.28622,4.21838,3579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_227,Y_227,Pineda Yam,227,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.28622,4.21838,3579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_228,Y_228,Pineda Yam,228,Yes,No,,Not present,sp,Tres.Escapos,complejo_sin_bracteas,E. killipii?,-74.18519,4.2203,3585,38.118,39.335,42.98,2.46,3.25,3.246,62,56,62,3.7,3.1,4,0,0,NA,7,7,7,9.5,10.37,9.5,10.5,9.43,10.29,3.34,3.31,2.83,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,YES,NA,NA
YAM_229,Y_229,Pineda Yam,229,No,Yes,,Not present,Seedling,hy_killipii,E. killipii,NA,-74.18519,4.2203,3585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_230,Y_230,Pineda Yam,230,Yes,No,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.18519,4.2203,3585,31.538,31.925,32.134,2.822,3.505,2.732,59,54,48,2.6,1.9,2.5,0,0,NA,7,5,5,1.6,2.76,2.1,2.05,2.65,2.91,3.36,2.97,3,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_231,Y_231,Pineda Yam,231,Yes,No,,Not present,E. grandiflora,g. hoja.peque,E. grandiflora,ver especimen si disponible,-74.18519,4.2203,3585,28.834,27.237,27.865,3.172,3.256,3.467,76,69,60,2.16,2.4,1.9,1,0,NA,12,15,17,2.17,3.74,1.67,1.85,2.1,2.08,1.79,1.94,2.06,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_232,Y_232,Pineda Yam,232,No,Yes,,Not present,Seedling,hy_killipii,E. killipii,NA,-74.18519,4.2203,3585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_233,Y_233,Pineda Yam,233,No,Yes,,Not present,Seedling,hy_killipii,E. killipii,NA,-74.18519,4.2203,3585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_234,Y_234,Pineda Yam,234,No,Yes,,Not present,Seedling,E. grandiflora,E. grandiflora,NA,-74.18519,4.2203,3585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_235,Y_235,Pineda Yam,235,No,Yes,,Not present,Seedling,E. killipii,E. killipii,NA,-74.18519,4.2203,3585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_236,Y_236,Pineda Yam,236,Yes,No,,Not present,E. grandiflora,g. hoja.peque,E. grandiflora,ver especimen si disponible,-74.28833,4.220556,3568,29.916,28.312,28.529,3.328,2.625,2.77,71,58,50,1.4,1.6,1.4,1,1,NA,6,5,7,1.96,NA,1.93,NA,NA,NA,NA,NA,NA,NA,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_237,Y_237,Pineda Yam,237,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.25549,4.21636,3682,30.643,36.34,36.048,5.539,5.919,6.371,84,76,91,2.4,2.5,3.2,1,1,NA,19,24,18,3.29,2.39,2.71,2.02,2,2.18,1.67,1.45,1.78,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_238,Y_238,Pineda Yam,238,Yes,No,,4,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.25562,4.21633,3684,29.919,29.482,NA,2.85,3.43,NA,93,88,90,2.1,2.3,2,1,1,NA,13,10,11,1.49,2.57,1.69,1.63,2.06,2.59,1.91,1.71,NA,NA,1.5,1.39,1.41,NA,9.68,9.19,9.72,4.57,4.8,4.95,11.07,11.48,10.47,5.34,4.78,4.79,2.37,3.52,3.52,NO,NA,NA,NA
YAM_239,Y_239,Pineda Yam,239,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.25549,4.21636,3682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_240,Y_240,Pineda Yam,240,Yes,No,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.24809,4.21535,3683,41.292,42.439,41.766,4.757,4.853,4.377,60,58,57,3,2.9,1.5,0,0,NA,5,5,5,3.93,5.57,2.3,2.91,5.44,5.74,2.65,3.39,3.66,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,YES,NA,NA
YAM_241,Y_241,Pineda Yam,241,No,Yes,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.24809,4.21535,3683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_242,Y_242,Pineda Yam,242,Yes,No,,Not present,E. grandiflora,g. hoja.peque,E. grandiflora,ver especimen si disponible,-74.24809,4.21535,3683,27.494,28.9,29.333,3.589,3.763,3.862,71,89,88,2,2.2,1.7,1,1,NA,7,13,20,3.16,3.07,3.27,0.5,2.62,2.6,2.47,2.55,2.3,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_243,Y_243,Pineda Yam,243,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.24809,4.21535,3683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_244,Y_244,Pineda Yam,244,Yes,No,,Not present,E. grandiflora,g. hoja.peque,E. grandiflora,ver especimen si disponible,-74.26377,4.20047,3871,19.35,17.048,17.735,2.884,2.348,2.406,54,52,49,1.5,1.8,1.9,1,1,NA,10,6,6,2.48,2.36,2.5,1.98,1.79,2.14,2.42,2.23,2,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_245,Y_245,Pineda Yam,245,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.26377,4.20047,3871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_246,Y_246,Pineda Yam,246,Yes,No,,4,E. grandiflora,g. hoja.peque,E. grandiflora,ver especimen si disponible,-74.26377,4.20047,3871,20.262,20.945,20.973,2.685,3.111,2.934,38,42,42,1.7,1.7,1.5,1,1,NA,8,11,9,3.48,2.13,3.55,3.52,1.23,0.99,NA,NA,NA,NA,1.19,1.63,0.97,1.9,12.23,10.78,9.63,5.54,6.71,4.37,11.77,9.99,11.88,5.75,5.63,6.01,1.78,2.36,2.28,NO,NA,NA,NA
YAM_247,Y_247,Pineda Yam,247,Yes,No,,2,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.26378,4.20004,3861,25.8,26.414,28.183,3.687,3.344,3.601,60,60,70,1.9,2,1.8,2,2,NA,13,9,7,2.89,3.31,2.31,2.46,2.26,2.34,NA,NA,NA,NA,2.17,1.64,2.1,1.79,14.11,16.78,20.19,7.46,5.32,3.11,12.45,12.58,13.24,7.28,7.02,6.76,2.07,2.13,2.04,NO,NA,NA,NA
YAM_248,Y_248,Pineda Yam,248,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.26378,4.20004,3861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_249,Y_249,Pineda Yam,249,Yes,No,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.26397,4.20012,3864,37.589,40.421,38.933,4.289,3.742,3.758,48,53,46,2.4,2,2,0,0,NA,5,5,5,7,6,5.2,4.5,5,4.5,3.73,3.54,3.18,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_250,Y_250,Pineda Yam,250,No,Yes,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.26397,4.20012,3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_251,Y_251,Pineda Yam,251,Yes,No,,4,E. grandiflora,g. hoja.peque,E. grandiflora,ver especimen si disponible,-74.26497,4.20034,3888,14.017,12.999,12.778,2.166,2.278,2.28,42,40,39,1.2,1.8,1.1,1,1,NA,7,7,7,1.32,1.26,1.4,NA,0.53,NA,NA,NA,NA,NA,1.69,2.09,1.7,1.81,13.5,10.91,12.43,5.72,5.27,6.11,9.67,9.66,10.02,5.58,6.64,6.69,4.03,4.53,3.88,NO,NA,NA,NA
YAM_252,Y_252,Pineda Yam,252,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.26497,4.20034,3888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_253,Y_253,Pineda Yam,253,Yes,No,,4,E. grandiflora,g. hoja.peque,E. grandiflora,ver especimen si disponible,-74.27158,4.19747,3886,18.488,18.31,19.004,2.781,3.174,2.782,47,54,47,1.5,1.4,1.5,0,1,NA,8,9,11,1.61,1.4,1.41,1.27,0.55,0.51,NA,NA,NA,NA,1.53,2.09,2.11,1.93,16.23,11.2,10.88,6.74,6.91,5.76,8.87,9.42,8.84,4.97,6.06,5.96,2.18,1.91,2.3,NO,NA,NA,NA
YAM_254,Y_254,Pineda Yam,254,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.27158,4.19747,3886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_255,Y_255,Pineda Yam,255,Yes,No,,2,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.27725,4.19965,3823,23.289,22.986,24.898,3.257,3.239,3.19,61,61,63,1.8,1.7,NA,3,3,NA,7,7,7,1.78,NA,1.46,1.22,NA,NA,NA,NA,NA,NA,2.11,1.9,2.05,1.89,12.99,11.92,12.05,6.41,4.3,5.45,11.71,12.28,13.27,7.26,7.46,7.16,2.89,2.1,3.1,NO,NA,NA,NA
YAM_256,Y_256,Pineda Yam,256,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.27725,4.19965,3823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_257,Y_257,Pineda Yam,257,Yes,No,,Not present,E. grandiflora,g. hoja.peque,E. grandiflora,ver especimen si disponible,-74.28162,4.19924,3779,NA,NA,NA,NA,NA,NA,34,31,NA,1,1.1,NA,2,2,NA,5,5,NA,0.31,1.41,0.92,0.88,0.82,0.79,NA,NA,NA,NA,1.09,1.35,1.26,1.2,7.88,9.25,7.54,2.72,3.35,3.38,9.71,11.38,10.43,6.83,6.49,6.92,2.7,2.75,2.36,NO,NA,NA,NA
YAM_258,Y_258,Pineda Yam,258,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.28162,4.19924,3779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_259,Y_259,Pineda Yam,259,No,No,,10,E. killipii,E. killipii,E. killipii,,-74.28397,4.20249,3715,40.329,40.464,41.79,4.281,3.814,3.892,76,86,76,2.4,2,2.3,0,0,NA,5,5,5,5.56,3.84,3.5,3.72,1.99,1.84,NA,NA,NA,NA,2.79,3.43,2.49,2.8,26.32,27.86,19.87,20.89,20.38,19.54,17.04,16.92,16.19,9.61,8.32,10.4,5.9,5.95,5.1,NO,NA,NA,NA
YAM_260,Y_260,Pineda Yam,260,Yes,No,,9,E. killipii,E. killipii,E. killipii,NA,-74.28168,4.20643,3670,41.856,40.387,41.951,4.269,4.495,4.542,78,82,79,3.4,3.4,3.9,0,0,NA,5,5,5,8.06,8.5,3.5,4.8,4,4.1,NA,NA,NA,NA,2.78,2.13,2.81,3.6,21,24.92,27.42,14.34,13.22,15.51,16.3,16.5,14.95,10.11,9.67,9.71,7.1,6.9,6.99,NO,NA,NA,NA
YAM_261,Y_261,Pineda Yam,261,No,Yes,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.28171,4.20647,3670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_262,Y_262,Pineda Yam,262,Yes,No,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.28161,4.20653,3670,45.619,45.443,41.593,4.53,4.143,4.391,105,80,95,3.1,3.4,NA,0,0,NA,15,13,NA,6.93,NA,4.82,6.42,NA,NA,NA,NA,NA,NA,1.83,1.34,1.29,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_263,Y_263,Pineda Yam,263,Yes,Yes,,6,E. grandiflora,E. grandiflora,complejo_sin_bracteas,E. cabrerensis?,-74.29304,4.21882,3470,35.063,37.548,35.527,6.569,6.283,5.807,70,69,NA,1.8,1.7,NA,0,0,NA,12,12,NA,2.15,NA,1.73,1.45,NA,NA,NA,NA,NA,NA,1.37,1.26,1.49,1.12,10.5,11.47,9.46,6.05,6.99,6.03,9.89,9.73,8.16,6.44,6.29,6.55,1.85,2.12,2.52,NO,NA,NA,NA
YAM_264,Y_264,Pineda Yam,264,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.29304,4.21882,3470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_265,Y_265,Pineda Yam,265,Yes,No,,Not present,NotFound,E. cabrerensis,E. cabrerensis,NA,-74.29296,4.22128,3526,39.08,38.229,36.22,4.851,4.817,5.022,74,70,78,2.1,2.5,2.5,0,0,NA,11,18,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_266,Y_266,Pineda Yam,266,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.209432,4.2256,3471,36.652,37.276,37.882,6.583,5.906,5.352,105,85,102,2.8,1.8,2.3,1,1,NA,23,18,22,3.23,2.96,2.56,2.6,1.99,1.7,1.58,1.84,2.3,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,YES,NA,NA
YAM_267,Y_267,Pineda Yam,267,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_268,Y_268,Pineda Yam,268,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.27456,4.21576,3604,NA,NA,NA,4.719,5.427,4.405,99,83,86,2.2,2.4,2.7,2,2,NA,9,7,11,2.61,4.02,2.66,NA,3.08,3.92,1.97,1.83,2.28,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_269,Y_269,Pineda Yam,269,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.27818,4.22159,3558,NA,NA,NA,3.035,3.244,2.964,79,62,71,1.6,1.6,2.1,2,2,NA,12,12,13,3.06,0.92,1.94,1.52,0.73,0.68,1,1.8,1.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_270,Y_270,Pineda Yam,270,No,No,,Not present,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
